Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
MCMDC2,0.00015245756,0.015852805,0.006015378,0.0008482009,0.00094600575,0.00012996257
MCOLN1,0.031965196,0.122086085,0.013143301,0.31675467,0.19048154,0.024465352
MCOLN2,0.021653008,0.040464304,0.0068691582,0.1443341,0.0011076026,0.0388024
MCOLN3,0.00024245384,0.06481398,0.0077059544,0.008100523,0.028623587,0.0019032111
MCPH1,0.041916702,0.07942779,0.013494166,0.012697849,0.062444128,0.027041448
MCPH1-AS1,0.00025665291,0.0015752802,0.007816202,0.00020557162,0.0012811652,9.505212e-05
MCRS1,0.08463387,0.6493185,0.022199715,0.09659952,0.2700995,0.062430974
MCTP1,0.0012548743,0.005927508,0.049449984,0.23127526,0.2995802,0.0003540394
MCTP2,0.057715844,0.1857709,0.07389778,0.01252199,0.10256184,0.019149857
MCTS1,0.31621706,2.2800817,0.096357144,0.361712,0.67805314,0.11213043
MCU,0.0136230355,0.3988993,0.009780216,0.019665342,0.08407347,0.005496295
MCUR1,0.22489753,1.2327044,0.035099003,0.18387105,0.44145614,0.058863707
MDC1,0.014502678,0.11205449,0.0067545627,0.039870296,0.04979684,0.0074836095
MDFI,0.0012430913,0.23114042,0.006341895,0.0031875186,0.24520002,0.00017221026
MDFIC,0.106485605,0.0064483993,0.006155927,0.12516564,0.22918905,0.047242478
MDGA1,0.004402333,0.00047390748,0.0069318996,0.00045657292,0.054968946,0.0041439114
MDH1,0.27379715,1.9183098,0.17989802,0.4976882,0.87201333,0.2406424
MDH1B,0.00014871435,0.005604249,0.0061003193,0.00023717528,0.007672893,6.3759304e-05
MDH2,0.50726205,6.8724546,0.18711793,0.6784404,1.2372786,0.3485927
MDK,0.23192863,5.5612864,0.036343616,0.07923692,1.9691195,0.01919678
MDM1,0.02642155,0.055841748,0.018826785,0.010038346,0.044320643,0.013739771
MDM2,0.1491128,0.37949508,0.0296975,0.123624526,0.16802455,0.053376675
MDM4,0.28799585,0.52207136,0.09159555,0.11916559,0.29597223,0.12494491
MDN1,0.024612898,0.20082848,0.013598715,0.023966638,0.06627294,0.021122275
MDP1,0.031631846,0.059134047,0.0063727773,0.018296694,0.08002454,0.009114252
MDS2,0.00923263,0.005015027,0.008035988,0.00018822178,0.0011969568,0.0028734345
ME1,0.004250185,0.4573495,0.006952511,0.08482633,0.036873177,0.0009771306
ME2,0.13180016,0.39421675,0.019266162,0.30947134,0.11771247,0.05703923
ME3,0.0029964047,0.1778608,0.016872482,0.008129686,0.11144012,0.00047363323
MEA1,0.1956439,1.4274141,0.102469444,0.296707,0.6651602,0.14515433
MEAF6,0.24393795,1.2711811,0.12114538,0.24986708,0.68467355,0.27727252
